policy,regime,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Fixed-Rate,ecg_missing,3.603426519483051,0.8779423327417895,0.826,0.09580959999999998,11.9762,117.42599999999997,1.0,1.0,0.23307758400019968,0.7493110891172168,0.6163159924460999
Fixed-Rate,ppg_degraded,7.391166587404948,0.6308892534406477,0.836,0.09580959999999998,11.9762,117.42599999999997,1.0,1.0,0.15953442139834045,0.6497724326555392,0.5427728298442407
Fixed-Rate,ppg_missing,3.8147962589046545,0.8640886325311461,0.828,0.09580959999999998,11.9762,117.42599999999997,1.0,1.0,0.22828308840424016,0.7309122330467519,0.6115214968501403
Heuristic-Rule,both_clean,2.7554691261870947,0.8893211093989901,0.882,0.09597813760000001,11.997267200000003,100.34589574857144,1.0,1.0,0.26777862623134036,0.738740009150666,0.6517767847302471
Heuristic-Rule,both_degraded,13.943138992355468,0.7718413225840065,0.873,0.0954966016,11.9370752,99.69620564571429,1.0,1.0,0.09103344988289883,0.5428719343525543,0.4730943006375141
Heuristic-Rule,ecg_degraded,7.085729322388199,0.5807196607649129,0.884,0.0960383296,12.004791200000003,100.42737898285715,1.0,1.0,0.17019854118919547,0.6309930221803868,0.5544449094791645
Heuristic-Rule,ecg_missing,3.054422424476048,0.8900444830576509,0.866,0.0962068672,12.0258584,100.36217976000002,1.0,1.0,0.2665606915445181,0.7493110891172168,0.6514644670168036
Heuristic-Rule,ppg_degraded,6.4394717221899,0.6464770558263531,0.885,0.09514748800000002,11.893436000000003,99.61620489142857,1.0,1.0,0.1920681802241385,0.6497724326555392,0.5727400175244177
Heuristic-Rule,ppg_missing,2.6452262577088277,0.8920566757409466,0.8789999999999999,0.09561698560000001,11.9521232,100.23368266285715,1.0,1.0,0.26222436413962685,0.7309122330467519,0.6447779134556999
PIR-Contextual-Bandit (LinUCB),both_clean,3.783879124217757,0.868336644364385,0.8380000000000001,0.08830967680000001,11.0387096,101.84608609142857,1.0,1.0,0.2680500391762611,0.738740009150666,0.6214022408863957
PIR-Contextual-Bandit (LinUCB),both_degraded,14.360189744842321,0.7500827037201078,0.8379999999999999,0.09081366400000002,11.351708000000002,104.06824130285716,1.0,1.0,0.08873683264959328,0.5428719343525543,0.45211801120753997
PIR-Contextual-Bandit (LinUCB),ecg_degraded,7.687209273161477,0.5593073088859237,0.8460000000000001,0.08936905600000002,11.171132000000002,103.36187560000003,1.0,1.0,0.17231030902926323,0.6309930221803868,0.5298963088593125
PIR-Contextual-Bandit (LinUCB),ecg_missing,3.5513852669659443,0.8780389394170667,0.836,0.08976632320000001,11.220790400000002,105.40535579428574,1.0,1.0,0.2650051686708519,0.7493110891172168,0.6242211668843787
PIR-Contextual-Bandit (LinUCB),ppg_degraded,7.32495752764594,0.6184100231188008,0.8370000000000001,0.08881528960000003,11.101911200000002,101.8287898057143,1.0,1.0,0.1892157161420618,0.6497724326555392,0.544568044870086
PIR-Contextual-Bandit (LinUCB),ppg_missing,3.495432301141912,0.8742885100508179,0.8460000000000001,0.09054881920000002,11.318602400000001,103.99601417142858,1.0,1.0,0.25751986597072885,0.7309122330467519,0.6198509664218866
