sweep,value,mean_diff,ci_low,ci_high,p
hint_delay_ticks,1,0.0003140625567104759,0.00013963537251020594,0.0004907236334878774,0.00199990000499975
hint_delay_ticks,2,0.00020581170183935941,8.071536742148424e-06,0.0004146671977172154,0.060646967651617416
hint_delay_ticks,3,0.00023235101078087286,2.888111159436529e-05,0.00043173199964983473,0.032698365081745916
hint_delay_ticks,5,0.00029741274536456737,9.859371767917592e-05,0.0005082729564292275,0.008349582520873956
hint_delay_ticks,8,0.00030019993839512437,6.445583933850573e-05,0.0005316780426594895,0.022548872556372182
hint_delay_ticks,12,0.00031413483941748847,0.00010777579418796346,0.0005375143207966492,0.00919954002299885
controller_cycles_per_decision,0,0.002595620394488818,0.002310668498152851,0.0028610777355306542,4.999750012499375e-05
controller_cycles_per_decision,10,0.0019789282986151595,0.0017540806510294334,0.0022074092473161324,4.999750012499375e-05
controller_cycles_per_decision,25,0.001482532268663925,0.0012736921566970836,0.0016829957610381473,4.999750012499375e-05
controller_cycles_per_decision,50,0.0007506533862687486,0.000529117301733171,0.0009644941169747614,9.99950002499875e-05
controller_cycles_per_decision,75,0.00037671871901753703,0.0001915690468631306,0.0005540261455260044,0.0008999550022498875
controller_cycles_per_decision,100,6.485943630254045e-05,-0.00012143937562016891,0.00025680703109949056,0.5123243837808109
controller_cycles_per_decision,150,-0.00028415815696862566,-0.0004601189615788445,-9.933029730355157e-05,0.005949702514874256
controller_cycles_per_decision,250,-0.0004834947084935721,-0.0006767566454908015,-0.00029091284153941947,0.00014999250037498125
controller_cycles_per_decision,400,-0.0006827865817977998,-0.0008587991347077729,-0.0005029672054585653,4.999750012499375e-05
controller_cycles_per_decision,600,-0.0008239694588639928,-0.000981719825735425,-0.0006671060785608623,4.999750012499375e-05
controller_cycles_per_decision,800,-0.0009001851398468419,-0.00106746851185705,-0.0007341974985172952,4.999750012499375e-05
controller_cycles_per_decision,1000,-0.0009001851398468419,-0.00106746851185705,-0.0007341974985172952,4.999750012499375e-05
controller_cycles_per_decision,1200,-0.0009001851398468419,-0.00106746851185705,-0.0007341974985172952,4.999750012499375e-05
controller_cycles_per_decision,1600,-0.0009001851398468419,-0.00106746851185705,-0.0007341974985172952,4.999750012499375e-05
controller_cycles_per_decision,2000,-0.0009001851398468419,-0.00106746851185705,-0.0007341974985172952,4.999750012499375e-05
